,Number of steps,Surface coverage,Schwoebel barrier,Desorption probability,Regime,Growth rate,Rms
5577,7.0,0.1133,0.294405,0.11823725,0.0,0.013001200061497775,0.45577486411388846
5578,7.0,0.1128,0.959397,0.17233915,0.0,0.01064833260138594,0.4514428994320312
5579,7.0,0.1135,0.268223,1.508e-05,1.0,0.017043233265334558,0.46921102713730983
5580,7.0,0.1144,0.416958,0.00196135,0.0,0.007114121239664912,0.4539455470821427
5581,7.0,0.1142,0.691695,3.66e-06,1.0,0.02443701741299194,0.48782881115933774
5582,7.0,0.1153,0.084541,0.02266595,1.0,0.03456461107408674,0.4573615745857223
5583,7.0,0.1152,0.284346,0.00165491,2.0,0.5398410541323114,0.7044803200925157
5584,7.0,0.1148,0.567987,0.11506004,2.0,0.4445070539202009,0.850551286161502
5585,7.0,0.1149,0.880466,1.9e-05,1.0,0.029746775724449896,0.4984334807803374
5586,7.0,0.1151,0.881696,6.09e-06,2.0,1.175543837922655,2.72889454805712
5587,7.0,0.1164,0.408342,3.08e-06,2.0,0.5694484988732519,0.7608582311078994
5588,7.0,0.1164,0.806256,1.859e-05,0.0,0.005452536980542736,0.4522942232977375
5589,7.0,0.1166,0.100572,0.04545245,0.0,0.011905692409148332,0.4534044895362653
5590,7.0,0.1173,0.695667,0.01047733,2.0,0.5873427877620775,0.948548505784294
5591,7.0,0.1172,0.773034,5.839e-05,2.0,0.8585076290386411,1.5657936375750043
5592,7.0,0.1173,0.807514,0.00799075,0.0,0.007158129277799251,0.4534775428794995
5593,7.0,0.1171,0.876817,0.10397896,1.0,0.05366404897617525,0.4560750080152437
5594,7.0,0.1166,0.9067,0.00037926,1.0,0.028428369638871142,0.4968397168411497
5595,7.0,0.1185,0.302588,0.56092304,0.0,0.017596108572823625,0.4543868583870666
5596,7.0,0.1185,0.30479,0.72451592,1.0,0.0912134376281204,0.4549818205873203
5597,7.0,0.1184,0.641525,0.00012981,0.0,0.006175550010391956,0.4524251160942717
5598,7.0,0.1187,0.011863,0.00322525,1.0,0.020571383373382796,0.46182204796970094
